class_full,module,class_name,file,lineno,bases
llm_adapter.config.M3StateEncoderConfig,llm_adapter.config,M3StateEncoderConfig,llm_adapter/config.py,18,
llm_adapter.config.M3StateCacheConfig,llm_adapter.config,M3StateCacheConfig,llm_adapter/config.py,37,
llm_adapter.config.M3AwareDecoderLayerConfig,llm_adapter.config,M3AwareDecoderLayerConfig,llm_adapter/config.py,53,
llm_adapter.config.M3AdaptiveSamplerConfig,llm_adapter.config,M3AdaptiveSamplerConfig,llm_adapter/config.py,70,
llm_adapter.config.M3EpisodicMemoryConfig,llm_adapter.config,M3EpisodicMemoryConfig,llm_adapter/config.py,90,
llm_adapter.config.KNNIndexConfig,llm_adapter.config,KNNIndexConfig,llm_adapter/config.py,100,
llm_adapter.config.TokenizerConfig,llm_adapter.config,TokenizerConfig,llm_adapter/config.py,108,
llm_adapter.config.TorchPolicyConfig,llm_adapter.config,TorchPolicyConfig,llm_adapter/config.py,126,
llm_adapter.config.PlasticBitLinearConfig,llm_adapter.config,PlasticBitLinearConfig,llm_adapter/config.py,163,
llm_adapter.config.M3PlasticPolicyConfig,llm_adapter.config,M3PlasticPolicyConfig,llm_adapter/config.py,171,
llm_adapter.config.M3LLMConfig,llm_adapter.config,M3LLMConfig,llm_adapter/config.py,186,
llm_adapter.layers.PlasticBitLinear,llm_adapter.layers,PlasticBitLinear,llm_adapter/layers.py,9,Module
llm_adapter.llm_core.M3StateEncoder,llm_adapter.llm_core,M3StateEncoder,llm_adapter/llm_core.py,154,
llm_adapter.llm_core.M3StateCache,llm_adapter.llm_core,M3StateCache,llm_adapter/llm_core.py,373,
llm_adapter.llm_core.M3AwareDecoderLayer,llm_adapter.llm_core,M3AwareDecoderLayer,llm_adapter/llm_core.py,484,
llm_adapter.llm_core.M3AdaptiveSampler,llm_adapter.llm_core,M3AdaptiveSampler,llm_adapter/llm_core.py,590,
llm_adapter.llm_core.HFBackend,llm_adapter.llm_core,HFBackend,llm_adapter/llm_core.py,766,
llm_adapter.llm_core.TorchConversationalPolicy,llm_adapter.llm_core,TorchConversationalPolicy,llm_adapter/llm_core.py,1551,
llm_adapter.llm_core.UnifiedM3Policy,llm_adapter.llm_core,UnifiedM3Policy,llm_adapter/llm_core.py,5388,TorchConversationalPolicy
llm_adapter.llm_core.PlasticBrainPolicy,llm_adapter.llm_core,PlasticBrainPolicy,llm_adapter/llm_core.py,5415,UnifiedM3Policy
llm_adapter.m3_control_bridge.M3BridgeControls,llm_adapter.m3_control_bridge,M3BridgeControls,llm_adapter/m3_control_bridge.py,13,
llm_adapter.m3_control_bridge.M3ControlBridge,llm_adapter.m3_control_bridge,M3ControlBridge,llm_adapter/m3_control_bridge.py,19,Module
llm_adapter.m3_control_bridge.LayerGateRuntime,llm_adapter.m3_control_bridge,LayerGateRuntime,llm_adapter/m3_control_bridge.py,148,
llm_adapter.m3_control_bridge.QualityGateResult,llm_adapter.m3_control_bridge,QualityGateResult,llm_adapter/m3_control_bridge.py,199,
llm_adapter.m3_control_bridge.GenerationQualityGate,llm_adapter.m3_control_bridge,GenerationQualityGate,llm_adapter/m3_control_bridge.py,206,
llm_adapter.m3_plastic_policy.M3PlasticPolicy,llm_adapter.m3_plastic_policy,M3PlasticPolicy,llm_adapter/m3_plastic_policy.py,15,Module
llm_adapter.memory.M3EpisodicMemoryRetriever,llm_adapter.memory,M3EpisodicMemoryRetriever,llm_adapter/memory.py,15,
llm_adapter.memory.KNNItem,llm_adapter.memory,KNNItem,llm_adapter/memory.py,275,
llm_adapter.memory.ConditionalKNNIndex,llm_adapter.memory,ConditionalKNNIndex,llm_adapter/memory.py,280,
llm_adapter.tokenization.M3Tokenizer,llm_adapter.tokenization,M3Tokenizer,llm_adapter/tokenization.py,11,
m3.config._CESConfig,m3.config,_CESConfig,m3/config.py,37,
m3.features.HebbianMemory,m3.features,HebbianMemory,m3/features.py,13,
m3.features.FeatureSpec,m3.features,FeatureSpec,m3/features.py,143,
m3.features.Scope,m3.features,Scope,m3/features.py,295,
m3.m3_core.Message,m3.m3_core,Message,m3/m3_core.py,90,
m3.m3_core.SpanMeta,m3.m3_core,SpanMeta,m3/m3_core.py,100,
m3.m3_core.MessageBus,m3.m3_core,MessageBus,m3/m3_core.py,111,
m3.m3_core.RNGRegistry,m3.m3_core,RNGRegistry,m3/m3_core.py,261,
m3.m3_core.PolicyMLP,m3.m3_core,PolicyMLP,m3/m3_core.py,281,Module
m3.m3_core.FeatureBank,m3.m3_core,FeatureBank,m3/m3_core.py,501,
m3.m3_core.SkillsManager,m3.m3_core,SkillsManager,m3/m3_core.py,1181,
m3.m3_core.SharedRepresentation,m3.m3_core,SharedRepresentation,m3/m3_core.py,1228,
m3.m3_core.MetaFeatureController,m3.m3_core,MetaFeatureController,m3/m3_core.py,1723,
m3.m3_core.GrowthTrigger,m3.m3_core,GrowthTrigger,m3/m3_core.py,1842,
m3.m3_core.SelfDynamicsModel,m3.m3_core,SelfDynamicsModel,m3/m3_core.py,1881,Module
m3.m3_core.SimpleBanditEnv,m3.m3_core,SimpleBanditEnv,m3/m3_core.py,2078,
m3.m3_core.IITPhiCalculator,m3.m3_core,IITPhiCalculator,m3/m3_core.py,2096,
m3.m3_core._WalLog,m3.m3_core,_WalLog,m3/m3_core.py,2482,
m3.m3_core._CmsSketch,m3.m3_core,_CmsSketch,m3/m3_core.py,2535,
m3.m3_core._TopKIndex,m3.m3_core,_TopKIndex,m3/m3_core.py,2608,
m3.m3_core._CsrStore,m3.m3_core,_CsrStore,m3/m3_core.py,2706,
m3.m3_core._RowCache,m3.m3_core,_RowCache,m3/m3_core.py,2787,
m3.m3_core.CauseEffectStructure,m3.m3_core,CauseEffectStructure,m3/m3_core.py,2814,
m3.m3_core.EvolutionVisualizer,m3.m3_core,EvolutionVisualizer,m3/m3_core.py,3275,
m3.m3_core.ConceptPrototype,m3.m3_core,ConceptPrototype,m3/m3_core.py,3631,
m3.m3_core.ConceptualSpace,m3.m3_core,ConceptualSpace,m3/m3_core.py,3638,
m3.m3_core.EventType,m3.m3_core,EventType,m3/m3_core.py,3766,Enum
m3.m3_core.Event,m3.m3_core,Event,m3/m3_core.py,3785,
m3.m3_core.GrowingSOM,m3.m3_core,GrowingSOM,m3/m3_core.py,3794,EvolutionVisualizer
m3.m3_core.QualiaState,m3.m3_core,QualiaState,m3/m3_core.py,4139,
m3.m3_core.ConsciousContent,m3.m3_core,ConsciousContent,m3/m3_core.py,4253,
m3.m3_core.GlobalWorkspace,m3.m3_core,GlobalWorkspace,m3/m3_core.py,4263,
m3.m3_core.GoalType,m3.m3_core,GoalType,m3/m3_core.py,5809,Enum
m3.m3_core.Goal,m3.m3_core,Goal,m3/m3_core.py,5819,
m3.m3_core.GoalGenerator,m3.m3_core,GoalGenerator,m3/m3_core.py,5850,
m3.m3_core.MetaCognitiveNetwork,m3.m3_core,MetaCognitiveNetwork,m3/m3_core.py,6036,
m3.m3_core.RecursiveSelfModel,m3.m3_core,RecursiveSelfModel,m3/m3_core.py,6234,
m3.m3_core.EpisodicMemoryTrace,m3.m3_core,EpisodicMemoryTrace,m3/m3_core.py,7185,
m3.m3_core.EpisodicMemory,m3.m3_core,EpisodicMemory,m3/m3_core.py,7201,
m3.m3_core.StructuralOperator,m3.m3_core,StructuralOperator,m3/m3_core.py,7506,Enum
m3.m3_core.StructuralVersion,m3.m3_core,StructuralVersion,m3/m3_core.py,7521,
m3.m3_core.ErrorProfile,m3.m3_core,ErrorProfile,m3/m3_core.py,7538,
m3.m3_core.StructuralOperatorEngine,m3.m3_core,StructuralOperatorEngine,m3/m3_core.py,7566,
m3.m3_core.Hypothesis,m3.m3_core,Hypothesis,m3/m3_core.py,7771,
m3.m3_core.AutonomousExperimentDesigner,m3.m3_core,AutonomousExperimentDesigner,m3/m3_core.py,7783,
m3.m3_core.PlanningMode,m3.m3_core,PlanningMode,m3/m3_core.py,8049,Enum
m3.m3_core.GoalStatus,m3.m3_core,GoalStatus,m3/m3_core.py,8055,Enum
m3.m3_core.SubGoal,m3.m3_core,SubGoal,m3/m3_core.py,8063,
m3.m3_core.LongTermGoal,m3.m3_core,LongTermGoal,m3/m3_core.py,8105,
m3.m3_core.LongTermPlanner,m3.m3_core,LongTermPlanner,m3/m3_core.py,8189,
m3.m3_core.ResourceType,m3.m3_core,ResourceType,m3/m3_core.py,8413,Enum
m3.m3_core.Budget,m3.m3_core,Budget,m3/m3_core.py,8421,
m3.m3_core.RewardSignal,m3.m3_core,RewardSignal,m3/m3_core.py,8453,
m3.m3_core.BudgetDecision,m3.m3_core,BudgetDecision,m3/m3_core.py,8463,
m3.m3_core.GlobalRewardBudgetScheduler,m3.m3_core,GlobalRewardBudgetScheduler,m3/m3_core.py,8469,
m3.m3_core.UnifiedSubject,m3.m3_core,UnifiedSubject,m3/m3_core.py,8635,
m3.m3_core.MetaMetaMonitor,m3.m3_core,MetaMetaMonitor,m3/m3_core.py,8761,
m3.m3_core.EnergyBasedController,m3.m3_core,EnergyBasedController,m3/m3_core.py,8866,
m3.m3_core.HebbianTrace,m3.m3_core,HebbianTrace,m3/m3_core.py,9213,
m3.m3_core.RunningBaseline,m3.m3_core,RunningBaseline,m3/m3_core.py,9237,
m3.m3_core.MetaController,m3.m3_core,MetaController,m3/m3_core.py,9255,
m3.m3_core.ConsciousnessBus,m3.m3_core,ConsciousnessBus,m3/m3_core.py,9437,
m3.m3_core.AutoNamer,m3.m3_core,AutoNamer,m3/m3_core.py,9487,
m3.m3_core.M3ConsciousnessCore,m3.m3_core,M3ConsciousnessCore,m3/m3_core.py,9750,
m3.reward.DriveTier,m3.reward,DriveTier,m3/reward.py,50,Enum
m3.reward.Drive,m3.reward,Drive,m3/reward.py,58,
m3.reward._TorchAffectEncoder,m3.reward,_TorchAffectEncoder,m3/reward.py,92,Module
m3.reward.AffectKernel,m3.reward,AffectKernel,m3/reward.py,115,
m3.reward.AffectAxisConfig,m3.reward,AffectAxisConfig,m3/reward.py,344,
m3.reward.AffectOverrideConfig,m3.reward,AffectOverrideConfig,m3/reward.py,366,
m3.reward.RewardSystem,m3.reward,RewardSystem,m3/reward.py,375,
m3.torch_policy._Expert,m3.torch_policy,_Expert,m3/torch_policy.py,33,Module
m3.torch_policy._MoEFFN,m3.torch_policy,_MoEFFN,m3/torch_policy.py,42,Module
m3.torch_policy.TorchSharedRepr,m3.torch_policy,TorchSharedRepr,m3/torch_policy.py,67,Module
m3.torch_policy.Expert,m3.torch_policy,Expert,m3/torch_policy.py,95,Module
m3.torch_policy.MoEFFN,m3.torch_policy,MoEFFN,m3/torch_policy.py,105,Module
m3.torch_policy.PolicyModel,m3.torch_policy,PolicyModel,m3/torch_policy.py,131,Module
m3.torch_policy.RolloutItem,m3.torch_policy,RolloutItem,m3/torch_policy.py,159,
m3.torch_policy.TorchPolicy,m3.torch_policy,TorchPolicy,m3/torch_policy.py,170,
m3.torch_policy.MLP,m3.torch_policy,MLP,m3/torch_policy.py,329,Module
m3.torch_policy.BRPolicyModel,m3.torch_policy,BRPolicyModel,m3/torch_policy.py,342,Module
m3.torch_policy.BRItem,m3.torch_policy,BRItem,m3/torch_policy.py,410,
m3.torch_policy.BRPolicy,m3.torch_policy,BRPolicy,m3/torch_policy.py,419,
m3.visualization.Retinizer,m3.visualization,Retinizer,m3/visualization.py,91,
m3.visualization.FeatureSummarizer,m3.visualization,FeatureSummarizer,m3/visualization.py,166,
m3.visualization.GlitchEncoder,m3.visualization,GlitchEncoder,m3/visualization.py,288,
